JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary
Analista de Dados (MeuID),idwall,"São Paulo, SP",há 11 dias,2021-10-18,Nós estamos buscando uma nova pessoa para o nosso Squad de Dados como Data Analyst. No função de Data Analyst você terá a oportunidade de:,R$ 1.010 por mês
Analista BI - OLAP,DECISION GROUP IT,"São Paulo, SP",há 30+ dias,2021-10-18,Prestará suporte ao usuário final e realizará treinamento das ferramentas OLAP.*.,R$ 6.500 - R$ 8.000 por mês
Senior Business Intelligence Analyst (Big Data),JP&F Consultoria LTDA,"São Paulo, SP",há 18 dias,2021-10-18,Strong knowledge in the insurance industry. Work with clients in developing implementation strategies for integration of solution sets into client environments.,R$ 14.000 - R$ 15.000 por mês
Analista de Business Intelligence Sr,Valid,"São Paulo, SP",há 30+ dias,2021-10-18,"Contribuir para a evolução da cultura data-driven na companhia. Superior completo em Ciências da Computação, Análise de Sistemas, cursos de exatas e correlatos.",Não informado
novaAnalista de BI Pleno [Remoto],Enext,"São Paulo, SP",há 3 dias,2021-10-18,Vale Refeição ou Vale Alimentação (você escolhe o que é melhor!); Seguro Odontológico - Porto seguro (opcional);Horário Flexível;,Não informado
Assistente Administrativo I,GPA,"São Paulo, SP",há 30+ dias,2021-10-18,"Automatização de relatórios em ferramenta de Business Intelligence (Power BI); Pacote Office Avançado (Excel, Power Point, Word, Access);",Não informado
Business Intelligence Analyst,Valtech,"São Paulo, SP",há 30+ dias,2021-10-18,Estamos procurando alguém para se juntar à nossa equipe no escritório de São Paulo na função de Business Intelligence Analyst.,Não informado
GEM Leader Mexico,PayPal,"Cerqueira César, SP",há 30+ dias,2021-10-18,Understand and support local licensing requirements to ensure appropriate compliance with and how it can enable strategic business objectives for Mexico.,Não informado
Estágio em BI,Pitzi,"Osasco, SP",há 11 dias,2021-10-18,"Fundada em 2012, a Pitzi trabalha ao lado das principais seguradoras do país para fazer do seguro de celular algo encantador.",Não informado
novaEstágio em Pesquisa de Pós-graduação,IBM,"São Paulo, SP",há 4 dias,2021-10-18,"To think along with clients and sell. The intern will be part of a research team working on ""Artificial Intelligence for Climate Risk"" - activities will include…",Não informado
Artificial Intelligence Intern,Intel,"São Paulo, SP",há 16 dias,2021-10-18,Intel's Sales and Marketing (SMG) organization works with global customers and partners to solve critical business problems with Intel based technology…,Não informado
